#id	flocell	series	lane	il_barcode	cel_barcode	project
17	C2235ACXX	SU2	L001	index06	11	bctest
95	C2235ACXX	SU2	L001	index06	12	bctest
4	C2235ACXX	SU2	L001	index06	13	bctest
2	C2235ACXX	SU2	L001	index06	14	bctest
93	C2235ACXX	SU2	L001	index06	15	bctest
76	C2235ACXX	SU2	L001	index06	16	bctest
94	C2235ACXX	SU2	L001	index06	17	bctest
96	C2235ACXX	SU2	L001	index06	18	bctest
80	C2235ACXX	SU2	L001	index06	19	bctest
78	C2235ACXX	SU2	L001	index06	20	bctest
24	C2235ACXX	SU2	L001	index06	21	bctest
98	C2235ACXX	SU2	L001	index06	22	bctest
60	C2235ACXX	SU2	L001	index06	23	bctest
6	C2235ACXX	SU2	L001	index06	24	bctest
39	C2235ACXX	SU2	L001	index06	25	bctest
100	C2235ACXX	SU2	L001	index06	26	bctest
97	C2235ACXX	SU2	L001	index06	27	bctest
21	C2235ACXX	SU2	L001	index06	28	bctest
22	C2235ACXX	SU2	L001	index06	29	bctest
79	C2235ACXX	SU2	L001	index06	30	bctest
20	C2235ACXX	SU2	L001	index06	31	bctest
33	C2235ACXX	SU2	L001	index06	32	bctest
34	C2235ACXX	SU2	L001	index06	33	bctest
59	C2235ACXX	SU2	L001	index06	34	bctest
64	C2235ACXX	SU2	L001	index06	35	bctest
75	C2235ACXX	SU2	L001	index06	36	bctest
65	C2235ACXX	SU2	L001	index06	37	bctest
7	C2235ACXX	SU2	L001	index06	38	bctest
38	C2235ACXX	SU2	L001	index06	39	bctest
3	C2235ACXX	SU2	L001	index06	40	bctest
1	C2235ACXX	SU2	L001	index06	41	bctest
19	C2235ACXX	SU2	L001	index06	42	bctest
8	C2235ACXX	SU2	L001	index06	43	bctest
37	C2235ACXX	SU2	L001	index06	44	bctest
50	C2235ACXX	SU2	L001	index06	45	bctest
36	C2235ACXX	SU2	L001	index06	46	bctest
82	C2235ACXX	SU2	L001	index06	47	bctest
63	C2235ACXX	SU2	L001	index06	48	bctest
99	C2235ACXX	SU2	L001	index06	49	bctest
18	C2235ACXX	SU2	L001	index06	50	bctest
62	C2235ACXX	SU2	L001	index06	51	bctest
5	C2235ACXX	SU2	L001	index06	1	bctest
23	C2235ACXX	SU2	L001	index06	2	bctest
32	C2235ACXX	SU2	L001	index06	3	bctest
35	C2235ACXX	SU2	L001	index06	4	bctest
40	C2235ACXX	SU2	L001	index06	5	bctest
49	C2235ACXX	SU2	L001	index06	6	bctest
61	C2235ACXX	SU2	L001	index06	7	bctest
66	C2235ACXX	SU2	L001	index06	8	bctest
77	C2235ACXX	SU2	L001	index06	9	bctest
81	C2235ACXX	SU2	L001	index06	10	bctest
