#id	flocell	series	lane	il_barcode	cel_barcode	project
1	C5BW1ACXX	CE_TC	L005	4	1	CE_1_1
2	C5BW1ACXX	CE_TC	L005	4	2	CE_1_2
3	C5BW1ACXX	CE_TC	L005	4	3	CE_1_3
4	C5BW1ACXX	CE_TC	L005	4	4	CE_1_4
5	C5BW1ACXX	CE_TC	L005	4	5	CE_1_5
6	C5BW1ACXX	CE_TC	L005	4	6	CE_1_6
7	C5BW1ACXX	CE_TC	L005	4	7	CE_1_7
8	C5BW1ACXX	CE_TC	L005	4	8	CE_1_8
9	C5BW1ACXX	CE_TC	L005	4	9	CE_1_9
1	C5BW1ACXX	CE_TC	L008	4	1	CE_1_1
2	C5BW1ACXX	CE_TC	L008	4	2	CE_1_2
3	C5BW1ACXX	CE_TC	L008	4	3	CE_1_3
4	C5BW1ACXX	CE_TC	L008	4	4	CE_1_4
5	C5BW1ACXX	CE_TC	L008	4	5	CE_1_5
6	C5BW1ACXX	CE_TC	L008	4	6	CE_1_6
7	C5BW1ACXX	CE_TC	L008	4	7	CE_1_7
8	C5BW1ACXX	CE_TC	L008	4	8	CE_1_8
9	C5BW1ACXX	CE_TC	L008	4	9	CE_1_9
10	C5BW1ACXX	CE_TC	L005	4	10	CE_2_1
11	C5BW1ACXX	CE_TC	L005	4	11	CE_2_2
12	C5BW1ACXX	CE_TC	L005	4	12	CE_2_3
13	C5BW1ACXX	CE_TC	L005	4	13	CE_2_4
14	C5BW1ACXX	CE_TC	L005	4	14	CE_2_5
15	C5BW1ACXX	CE_TC	L005	4	15	CE_2_6
16	C5BW1ACXX	CE_TC	L005	4	16	CE_2_7
17	C5BW1ACXX	CE_TC	L005	4	17	CE_2_8
18	C5BW1ACXX	CE_TC	L005	4	18	CE_2_9
10	C5BW1ACXX	CE_TC	L008	4	10	CE_2_1
11	C5BW1ACXX	CE_TC	L008	4	11	CE_2_2
12	C5BW1ACXX	CE_TC	L008	4	12	CE_2_3
13	C5BW1ACXX	CE_TC	L008	4	13	CE_2_4
14	C5BW1ACXX	CE_TC	L008	4	14	CE_2_5
15	C5BW1ACXX	CE_TC	L008	4	15	CE_2_6
16	C5BW1ACXX	CE_TC	L008	4	16	CE_2_7
17	C5BW1ACXX	CE_TC	L008	4	17	CE_2_8
18	C5BW1ACXX	CE_TC	L008	4	18	CE_2_9
